ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC17000466.hg.1,1,0.03389,-2.16,-3.6239,PSMB3,proteasome (prosome, macropain) subunit, beta type,3,
TC0X000757.hg.1,1,0.033998,-2.16,-3.6263,SSR4,signal sequence receptor, delta,,,
TC05001053.hg.1,1,0.034043,-2.16,-3.6273,SQSTM1,sequestosome 1,,,,
TC01004003.hg.1,1,0.034073,-2.16,-3.628,NID1,nidogen 1,,,,
TC07001429.hg.1,1,0.03423,2.16,-3.6314,ZNF479,zinc finger protein 479,,,,
TC02001614.hg.1,1,0.034389,2.16,-3.6349,WDR35,WD repeat domain 35,,,,
TC6_ssto_hap7000055.hg.1,1,0.034402,-2.16,-3.6352,LST1,leukocyte specific transcript 1,,,,
TC6_cox_hap2000068.hg.1,1,0.034496,-2.16,-3.6373,LST1,leukocyte specific transcript 1,,,,
TC11001941.hg.1,1,0.034822,-2.15,-3.6444,DKFZp761E198,uncharacterized protein DKFZp761E198,,,,
TC03003326.hg.1,1,0.034934,2.15,-3.6468,CIDECP,cell death-inducing DFFA-like effector c pseudogene,,,,
TC10001216.hg.1,1,0.034955,-2.15,-3.6472,C10orf10,chromosome 10 open reading frame 10,,,,
TC17001861.hg.1,1,0.035074,-2.15,-3.6498,CD300LF,CD300 molecule-like family member f,,,,
TC02000270.hg.1,1,0.035133,2.15,-3.651,PLEKHH2,pleckstrin homology domain containing, family H (with MyTH4 domain) member 2,,,
TC09000222.hg.1,1,0.035228,-2.15,-3.6531,ALDH1B1,aldehyde dehydrogenase 1 family, member B1,,,
TC09000707.hg.1,1,0.035304,-2.15,-3.6547,DOLPP1,dolichyl pyrophosphate phosphatase 1,,,,
TC0X000536.hg.1,1,0.035381,2.15,-3.6563,NXT2,nuclear transport factor 2-like export factor 2,,,,
TC01000676.hg.1,1,0.035488,2.15,-3.6586,LOC100507634,uncharacterized LOC100507634,,,,
TC12001617.hg.1,1,0.035496,2.14,-3.6588,ZBTB39,zinc finger and BTB domain containing 39,,,,
TC12001543.hg.1,1,0.035621,-2.14,-3.6614,CSAD,cysteine sulfinic acid decarboxylase,,,,
TC14001475.hg.1,1,0.035742,-2.14,-3.664,LINC00341,long intergenic non-protein coding RNA 341,,,,
TC6_cox_hap2000236.hg.1,1,0.035869,-2.14,-3.6666,HLA-C,major histocompatibility complex, class I, C,,
TC01001009.hg.1,1,0.036004,2.14,-3.6695,TSHB,thyroid stimulating hormone, beta,,,
TC6_qbl_hap6000047.hg.1,1,0.036104,-2.14,-3.6716,PSORS1C1,psoriasis susceptibility 1 candidate 1,,,,
TC11002244.hg.1,1,0.036272,2.14,-3.675,CASP12,caspase 12 (gene/pseudogene),,,,
TC02002643.hg.1,1,0.036421,2.13,-3.6781,C2orf66,chromosome 2 open reading frame 66,,,,
TC07000438.hg.1,1,0.036436,-2.13,-3.6784,NCF1B,neutrophil cytosolic factor 1B pseudogene,,,,
TC03000584.hg.1,1,0.036537,2.13,-3.6805,GRAMD1C,GRAM domain containing 1C,,,,
TC17000166.hg.1,1,0.037185,2.12,-3.6937,MGC12916,uncharacterized protein MGC12916,,,,
TC08001721.hg.1,1,0.037313,-2.12,-3.6963,EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),,,,
TC05003416.hg.1,1,0.03733,-2.12,-3.6966,MAML1,mastermind-like 1 (Drosophila),,,,
TC16000054.hg.1,1,0.037351,-2.12,-3.697,TBL3,transducin (beta)-like 3,,,,
TC6_dbb_hap3000059.hg.1,1,0.037562,-2.12,-3.7013,LST1,leukocyte specific transcript 1,,,,
TC16000851.hg.1,1,0.037568,-2.12,-3.7014,CARHSP1,calcium regulated heat stable protein 1, 24kDa,,,
TC19000374.hg.1,1,0.037599,-2.12,-3.702,MIR640,microRNA 640,,,,
TC01000261.hg.1,1,0.03771,-2.12,-3.7042,CDA,cytidine deaminase,,,,
TC05002048.hg.1,1,0.037781,-2.12,-3.7056,FAM196B,family with sequence similarity 196, member B,,,
TC19000752.hg.1,1,0.037975,-2.12,-3.7095,SIGLEC16,sialic acid binding Ig-like lectin 16 (gene/pseudogene),,,,
TC22000271.hg.1,1,0.038016,-2.12,-3.7103,CSF2RB,colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage),,
TC0X001431.hg.1,1,0.038083,2.11,-3.7116,CXorf66,chromosome X open reading frame 66,,,,
TC6_apd_hap1000037.hg.1,1,0.038178,-2.11,-3.7135,LST1,leukocyte specific transcript 1,,,,
TC6_mann_hap4000060.hg.1,1,0.038215,-2.11,-3.7142,LST1,leukocyte specific transcript 1,,,,
TC11001117.hg.1,1,0.038283,2.11,-3.7155,C11orf63,chromosome 11 open reading frame 63,,,,
TC07000487.hg.1,1,0.038335,-2.11,-3.7166,ZP3,zona pellucida glycoprotein 3 (sperm receptor),,,,
TC01001420.hg.1,1,0.038884,2.11,-3.7272,MIR556,microRNA 556,,,,
TC6_qbl_hap6000059.hg.1,1,0.038963,-2.1,-3.7287,LST1,leukocyte specific transcript 1,,,,
TC01001733.hg.1,1,0.038967,2.1,-3.7288,C4BPA,complement component 4 binding protein, alpha,,,
TC02000959.hg.1,1,0.039026,2.1,-3.7299,LOC554201,uncharacterized LOC554201,,,,
TC06001584.hg.1,1,0.039057,-2.1,-3.7305,TAPBP,TAP binding protein (tapasin),,,,
TC10001419.hg.1,1,0.039196,-2.1,-3.7332,NDST2,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2,,,,
TC06001065.hg.1,1,0.039219,-2.1,-3.7336,RAB32,RAB32, member RAS oncogene family,,,
TC0X001382.hg.1,1,0.039292,2.1,-3.735,MIR92A2,microRNA 92a-2,,,,
TC07000999.hg.1,1,0.039506,-2.1,-3.7391,C7orf29,chromosome 7 open reading frame 29,,,,
TC14001036.hg.1,1,0.039619,-2.1,-3.7412,NFKBIA,nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha,,,
TC14000960.hg.1,1,0.039634,2.1,-3.7415,MIR208B,microRNA 208b,,,,
TC02000707.hg.1,1,0.039731,2.1,-3.7434,POLR1B,polymerase (RNA) I polypeptide B, 128kDa,,,
TC15001664.hg.1,1,0.039751,-2.1,-3.7437,MIR631,microRNA 631,,,,
TC6_apd_hap1000019.hg.1,1,0.04027,-2.09,-3.7534,HLA-A,major histocompatibility complex, class I, A,,
TC6_mcf_hap5000205.hg.1,1,0.040811,-2.08,-3.7634,HLA-J,major histocompatibility complex, class I, J (pseudogene),,
TC04001467.hg.1,1,0.040842,2.08,-3.764,ELOVL6,ELOVL fatty acid elongase 6,,,,
TC0X002331.hg.1,1,0.041157,-2.08,-3.7697,WDR45,WD repeat domain 45,,,,
TC08000444.hg.1,1,0.041163,2.08,-3.7698,C8orf45,chromosome 8 open reading frame 45,,,,
TC6_cox_hap2000026.hg.1,1,0.041214,-2.08,-3.7708,HLA-A,major histocompatibility complex, class I, A,,
TC16000766.hg.1,1,0.041304,-2.08,-3.7724,SEPX1,selenoprotein X,1,,,
TC16002086.hg.1,1,0.041349,-2.08,-3.7732,PSMB10,proteasome (prosome, macropain) subunit, beta type,10,
TC08000486.hg.1,1,0.041495,-2.08,-3.7758,TMEM70,transmembrane protein 70,,,,
TC06000373.hg.1,1,0.041542,-2.08,-3.7767,AIF1,allograft inflammatory factor 1,,,,
TC6_cox_hap2000069.hg.1,1,0.041542,-2.08,-3.7767,AIF1,allograft inflammatory factor 1,,,,
TC6_qbl_hap6000060.hg.1,1,0.041542,-2.08,-3.7767,AIF1,allograft inflammatory factor 1,,,,
TC6_ssto_hap7000056.hg.1,1,0.041542,-2.08,-3.7767,AIF1,allograft inflammatory factor 1,,,,
TC21000549.hg.1,1,0.04174,-2.07,-3.7802,SLC19A1,solute carrier family 19 (folate transporter), member 1,,,
TC01006345.hg.1,1,0.041804,-2.07,-3.7814,SLC35E2,solute carrier family 35, member E2,,,
TC02002001.hg.1,1,0.041881,-2.07,-3.7827,AUP1,ancient ubiquitous protein 1,,,,
TC06000225.hg.1,1,0.041897,-2.07,-3.783,HIST1H2AH,histone cluster 1, H2ah,,,
TC0X000124.hg.1,1,0.041996,2.07,-3.7848,MAGEB6,melanoma antigen family B,6,,,
TC01003255.hg.1,1,0.042049,-2.07,-3.7857,SPRR2E,small proline-rich protein 2E,,,,
TC16000568.hg.1,1,0.042185,2.07,-3.7882,NIP7,nuclear import 7 homolog (S. cerevisiae),,,,
TC09000045.hg.1,1,0.04232,2.07,-3.7905,IL33,interleukin 33,,,,
TC04000693.hg.1,1,0.042323,-2.07,-3.7906,IL15,interleukin 15,,,,
TC11001949.hg.1,1,0.042376,-2.07,-3.7915,C11orf68,chromosome 11 open reading frame 68,,,,
TC05000982.hg.1,1,0.042517,-2.07,-3.794,HRH2,histamine receptor H2,,,,
TC11001084.hg.1,1,0.042698,-2.06,-3.7972,C2CD2L,C2CD2-like,,,,
TC19000338.hg.1,1,0.042933,-2.06,-3.8013,PGLS,6-phosphogluconolactonase,,,,
TC19000109.hg.1,1,0.042989,-2.06,-3.8022,VMAC,vimentin-type intermediate filament associated coiled-coil protein,,,,
TC02002463.hg.1,1,0.043053,2.06,-3.8033,WDSUB1,WD repeat, sterile alpha motif and U-box domain containing 1,,,
TC07001141.hg.1,1,0.043175,2.06,-3.8055,LOC100505921,uncharacterized LOC100505921,,,,
TC09001217.hg.1,1,0.043226,2.06,-3.8063,C9orf40,chromosome 9 open reading frame 40,,,,
TC14000968.hg.1,1,0.043271,-2.06,-3.8071,PSME2,proteasome (prosome, macropain) activator subunit 2 (PA28 beta),,,
TC01003882.hg.1,1,0.0436,2.06,-3.8128,MIR320B2,microRNA 320b-2,,,,
TC14000974.hg.1,1,0.044024,-2.05,-3.82,CIDEB,cell death-inducing DFFA-like effector b,,,,
TC01000978.hg.1,1,0.044085,-2.05,-3.821,C1orf162,chromosome 1 open reading frame 162,,,,
TC05000723.hg.1,1,0.044122,-2.05,-3.8216,C5orf32,chromosome 5 open reading frame 32,,,,
TC20000761.hg.1,1,0.044135,-2.05,-3.8218,TSPY26P,testis specific protein, Y-linked 26, pseudogene,,
TC12000078.hg.1,1,0.04421,-2.05,-3.8231,LTBR,lymphotoxin beta receptor (TNFR superfamily, member 3),,,
TC11002424.hg.1,1,0.044229,2.05,-3.8234,PUS3,pseudouridylate synthase 3,,,,
TC05000930.hg.1,1,0.044232,-2.05,-3.8235,MIR378E,microRNA 378e,,,,
TC16001157.hg.1,1,0.04434,-2.05,-3.8253,SLC38A7,solute carrier family 38, member 7,,,
TC17000826.hg.1,1,0.044463,-2.05,-3.8274,TTYH2,tweety homolog 2 (Drosophila),,,,
TC05000831.hg.1,1,0.044469,-2.05,-3.8275,NDST1,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1,,,,
TC09001431.hg.1,1,0.044688,2.04,-3.8311,OR13C5,olfactory receptor, family 13, subfamily C, member 5,
TC19002653.hg.1,1,0.045152,-2.04,-3.8388,LILRA1,leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1,,
TC15001807.hg.1,1,0.046139,2.03,-3.8549,MIR1276,microRNA 1276,,,,
TC17001883.hg.1,1,0.046309,2.03,-3.8576,MIR4738,microRNA 4738,,,,
TC19000974.hg.1,1,0.046314,-2.03,-3.8577,WASH5P,WAS protein family homolog 5 pseudogene,,,,
TC09001641.hg.1,1,0.046341,-2.03,-3.8581,DOLK,dolichol kinase,,,,
TC6_ssto_hap7000094.hg.1,1,0.046374,2.03,-3.8587,ZBTB9,zinc finger and BTB domain containing 9,,,,
TC07003366.hg.1,1,0.046474,-2.03,-3.8602,ATP5J2,ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2,
TC22000068.hg.1,1,0.046482,-2.03,-3.8604,MED15,mediator complex subunit 15,,,,
TC12001729.hg.1,1,0.046647,-2.03,-3.863,MRS2P2,MRS2 magnesium homeostasis factor homolog (S. cerevisiae) pseudogene 2,,,,
TC19000055.hg.1,1,0.046675,-2.03,-3.8635,GADD45B,growth arrest and DNA-damage-inducible, beta,,,
TC17001176.hg.1,1,0.046692,2.03,-3.8637,ZNF624,zinc finger protein 624,,,,
TC07001516.hg.1,1,0.046787,-2.02,-3.8652,NCF1C,neutrophil cytosolic factor 1C pseudogene,,,,
TC21000042.hg.1,1,0.046892,2.02,-3.8669,MIRLET7C,microRNA let-7c,,,,
TC19001143.hg.1,1,0.047016,2.02,-3.8689,OR7G3,olfactory receptor, family 7, subfamily G, member 3,
TC08000980.hg.1,1,0.047217,-2.02,-3.872,CTSB,cathepsin B,,,,
TC17000544.hg.1,1,0.04727,-2.02,-3.8729,RPL27,ribosomal protein L27,,,,
TC20000237.hg.1,1,0.04731,-2.02,-3.8735,MIR4755,microRNA 4755,,,,
TC15001582.hg.1,1,0.047321,2.02,-3.8737,SNORD18A,small nucleolar RNA, C/D box 18A,,,
TC01000342.hg.1,1,0.047413,-2.02,-3.8751,CD52,CD52 molecule,,,,
TC19002609.hg.1,1,0.047551,-2.02,-3.8773,SIGLEC11,sialic acid binding Ig-like lectin 11,,,,
TC19001189.hg.1,1,0.047677,2.02,-3.8792,ZNF823,zinc finger protein 823,,,,
TC12000703.hg.1,1,0.0478,2.02,-3.8811,LOC100507594,uncharacterized LOC100507594,,,,
TC02000466.hg.1,1,0.047843,-2.01,-3.8818,HK2,hexokinase 2,,,,
TC12000482.hg.1,1,0.047924,2.01,-3.8831,OR6C2,olfactory receptor, family 6, subfamily C, member 2,
TC19001487.hg.1,1,0.048107,2.01,-3.8859,ZNF781,zinc finger protein 781,,,,
TC07000968.hg.1,1,0.048232,2.01,-3.8878,C7orf33,chromosome 7 open reading frame 33,,,,
TC19001924.hg.1,1,0.048305,-2.01,-3.8889,MZF1,myeloid zinc finger 1,,,,
TC02001296.hg.1,1,0.048365,-2.01,-3.8899,GPBAR1,G protein-coupled bile acid receptor 1,,,,
TC10001369.hg.1,1,0.048385,-2.01,-3.8902,PCBD1,pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha,,,,
TC11001304.hg.1,1,0.048425,-2.01,-3.8908,RHOG,ras homolog gene family, member G (rho G),,,
TC09001405.hg.1,1,0.048559,-2.01,-3.8928,TBC1D2,TBC1 domain family, member 2,,,
TC12000373.hg.1,1,0.048679,2.01,-3.8947,LOC100335030,FGFR1 oncogene partner 2 pseudogene,,,,
TC13000502.hg.1,1,0.048697,2.01,-3.8949,RNF6,ring finger protein (C3H2C3 type) 6,,,,
TC19000835.hg.1,1,0.048804,2.01,-3.8965,MIR520C,microRNA 520c,,,,
TC19001515.hg.1,1,0.048847,-2.01,-3.8972,LRFN1,leucine rich repeat and fibronectin type III domain containing 1,,,,
TC09001050.hg.1,1,0.048966,-2,-3.899,PIGO,phosphatidylinositol glycan anchor biosynthesis, class O,,,
TC05000155.hg.1,1,0.049229,2,-3.903,DNAJC21,DnaJ (Hsp40) homolog, subfamily C, member 21,,
TC6_ssto_hap7000059.hg.1,1,0.04936,-2,-3.9049,APOM,apolipoprotein M,,,,
TC03000161.hg.1,1,0.049415,-2,-3.9058,CMTM7,CKLF-like MARVEL transmembrane domain containing 7,,,,
TC17000179.hg.1,1,0.049417,2,-3.9058,MEIS3P1,Meis homeobox 3 pseudogene 1,,,,
TC17001093.hg.1,1,0.049983,-2,-3.9142,SAT2,spermidine/spermine N1-acetyltransferase family member 2,,,,
TC6_mann_hap4000186.hg.1,1,0.05007,-1.99,-3.9155,HLA-J,major histocompatibility complex, class I, J (pseudogene),,
TC0X001019.hg.1,1,0.050343,-1.99,-3.9195,SLC35A2,solute carrier family 35 (UDP-galactose transporter), member A2,,,
TC19000335.hg.1,1,0.050449,-1.99,-3.9211,FAM125A,family with sequence similarity 125, member A,,,
TC6_mcf_hap5000199.hg.1,1,0.050675,-1.99,-3.9244,ATF6B,activating transcription factor 6 beta,,,,
TC19000188.hg.1,1,0.05068,-1.99,-3.9245,CARM1,coactivator-associated arginine methyltransferase 1,,,,
TC07003364.hg.1,1,0.050973,1.99,-3.9287,PON3,paraoxonase 3,,,,
TC01000304.hg.1,1,0.050995,-1.99,-3.9291,MIR378F,microRNA 378f,,,,
TC22000337.hg.1,1,0.051093,-1.99,-3.9305,ACO2,aconitase 2, mitochondrial,,,
TC06000717.hg.1,1,0.051296,1.98,-3.9334,C6orf57,chromosome 6 open reading frame 57,,,,
TC19001152.hg.1,1,0.051332,1.98,-3.9339,ZNF812,zinc finger protein 812,,,,
TC19001374.hg.1,1,0.051333,1.98,-3.9339,LOC100101266,hepatitis A virus cellular receptor 1 pseudogene,,,,
TC19000575.hg.1,1,0.051415,-1.98,-3.9351,CYP2S1,cytochrome P450, family 2, subfamily S, polypeptide 1,
TC0X001158.hg.1,1,0.051454,-1.98,-3.9357,MIR421,microRNA 421,,,,
TC19002615.hg.1,1,0.05148,-1.98,-3.9361,LILRA3,leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3,,
TC01003732.hg.1,1,0.051505,-1.98,-3.9364,PPP1R15B,protein phosphatase 1, regulatory subunit 15B,,,
TC03001293.hg.1,1,0.051521,-1.98,-3.9366,ACAA1,acetyl-CoA acyltransferase 1,,,,
TC11001733.hg.1,1,0.051671,-1.98,-3.9388,ACP2,acid phosphatase 2, lysosomal,,,
TC02001986.hg.1,1,0.05174,1.98,-3.9398,NAT8B,N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene),,
TC01000445.hg.1,1,0.051798,1.98,-3.9406,LOC402779,uncharacterized LOC402779,,,,
TC04000028.hg.1,1,0.051976,-1.98,-3.9431,TACC3,transforming, acidic coiled-coil containing protein 3,,,
TC16001145.hg.1,1,0.052016,-1.98,-3.9437,ZNF319,zinc finger protein 319,,,,
TC20000393.hg.1,1,0.052059,-1.98,-3.9443,RNF114,ring finger protein 114,,,,
TC04000649.hg.1,1,0.052098,1.98,-3.9449,LOC100507487,uncharacterized LOC100507487,,,,
TC14000261.hg.1,1,0.052122,1.98,-3.9452,C14orf28,chromosome 14 open reading frame 28,,,,
TC19001280.hg.1,1,0.052138,-1.98,-3.9454,JAK3,Janus kinase 3,,,,
TC01000299.hg.1,1,0.052266,-1.98,-3.9472,RPL11,ribosomal protein L11,,,,
TC19000454.hg.1,1,0.052468,-1.97,-3.9501,GRAMD1A,GRAM domain containing 1A,,,,
TC10001373.hg.1,1,0.052697,-1.97,-3.9533,C10orf54,chromosome 10 open reading frame 54,,,,
TC09000143.hg.1,1,0.052712,1.97,-3.9535,ANKRD18B,ankyrin repeat domain 18B,,,,
TC17001196.hg.1,1,0.052883,-1.97,-3.9559,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2,,,,
TC17000165.hg.1,1,0.052957,1.97,-3.9569,HS3ST3B1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1,,,,
TC12001980.hg.1,1,0.052998,1.97,-3.9575,MIR1302-1,microRNA 1302-1,,,,
TC11001269.hg.1,1,0.053113,-1.97,-3.9591,MIR4298,microRNA 4298,,,,
TC6_dbb_hap3000060.hg.1,1,0.053309,-1.97,-3.9618,AIF1,allograft inflammatory factor 1,,,,
TC0X000234.hg.1,1,0.053413,-1.97,-3.9633,ZNF157,zinc finger protein 157,,,,
TC04002944.hg.1,1,0.053422,-1.97,-3.9634,HSD17B13,hydroxysteroid (17-beta) dehydrogenase 13,,,,
TC05000897.hg.1,1,0.053828,1.96,-3.969,MIR146A,microRNA 146a,,,,
TC05000802.hg.1,1,0.053881,-1.96,-3.9697,LOC153469,uncharacterized LOC153469,,,,
TC17002865.hg.1,1,0.053941,-1.96,-3.9705,TNFSF13,tumor necrosis factor (ligand) superfamily, member 13,,,
TC11001795.hg.1,1,0.054017,-1.96,-3.9715,UBE2L6,ubiquitin-conjugating enzyme E2L 6,,,,
TC19001687.hg.1,1,0.054037,-1.96,-3.9718,RPL18,ribosomal protein L18,,,,
TC07001481.hg.1,1,0.054185,1.96,-3.9738,MIR3914-1,microRNA 3914-1,,,,
TC03000298.hg.1,1,0.054261,-1.96,-3.9749,RNF123,ring finger protein 123,,,,
TC18000299.hg.1,1,0.054412,1.96,-3.9769,ZFP161,zinc finger protein 161 homolog (mouse),,,,
TC06000657.hg.1,1,0.054436,1.96,-3.9772,LOC730101,uncharacterized LOC730101,,,,
TC09001109.hg.1,1,0.054446,1.96,-3.9774,LOC286297,uncharacterized LOC286297,,,,
TC11000735.hg.1,1,0.054512,-1.96,-3.9783,KRTAP5-7,keratin associated protein 5-7,,,,
TC04000608.hg.1,1,0.054638,1.96,-3.98,METTL14,methyltransferase like 14,,,,
TC6_apd_hap1000020.hg.1,1,0.054697,-1.95,-3.9808,HLA-J,major histocompatibility complex, class I, J (pseudogene),,
TC6_cox_hap2000028.hg.1,1,0.054697,-1.95,-3.9808,HLA-J,major histocompatibility complex, class I, J (pseudogene),,
TC6_dbb_hap3000212.hg.1,1,0.054697,-1.95,-3.9808,HLA-J,major histocompatibility complex, class I, J (pseudogene),,
TC18000190.hg.1,1,0.054792,-1.95,-3.982,MIR4529,microRNA 4529,,,,
TC11001368.hg.1,1,0.054999,1.95,-3.9848,OR2D2,olfactory receptor, family 2, subfamily D, member 2,
TC04001753.hg.1,1,0.055128,1.95,-3.9865,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),,,,
TC15001596.hg.1,1,0.055172,-1.95,-3.9871,ANP32A-IT1,ANP32A intronic transcript 1 (non-protein coding),,,,
TC11003482.hg.1,1,0.055265,-1.95,-3.9884,SLC43A3,solute carrier family 43, member 3,,,
TC19000024.hg.1,1,0.055304,-1.95,-3.9889,WDR18,WD repeat domain 18,,,,
TC01003241.hg.1,1,0.055531,1.95,-3.9919,TCHHL1,trichohyalin-like 1,,,,
TC19001307.hg.1,1,0.056095,-1.94,-3.9993,ATP13A1,ATPase type 13A1,,,,
TC16000610.hg.1,1,0.056101,1.94,-3.9994,LOC100506172,uncharacterized LOC100506172,,,,
TC07003314.hg.1,1,0.056113,-1.94,-3.9996,PILRA,paired immunoglobin-like type 2 receptor alpha,,,,
TC03001039.hg.1,1,0.056213,-1.94,-4.0009,FLJ42393,uncharacterized LOC401105,,,,
TC01003380.hg.1,1,0.05629,1.94,-4.0019,OR6K3,olfactory receptor, family 6, subfamily K, member 3,
TC01003333.hg.1,1,0.056469,-1.94,-4.0042,PAQR6,progestin and adipoQ receptor family member VI,,,,
TC20000266.hg.1,1,0.056512,-1.94,-4.0048,C20orf4,chromosome 20 open reading frame 4,,,,
TC0X000237.hg.1,1,0.056576,-1.94,-4.0056,ARAF,v-raf murine sarcoma 3611 viral oncogene homolog,,,,
TC01003261.hg.1,1,0.056678,-1.94,-4.0069,S100A8,S100 calcium binding protein A8,,,,
TC19002608.hg.1,1,0.056791,-1.94,-4.0084,NUP62,nucleoporin 62kDa,,,,
TC06000805.hg.1,1,0.056805,1.94,-4.0086,MIR4464,microRNA 4464,,,,
TC01006315.hg.1,1,0.056816,-1.94,-4.0087,SEPN1,selenoprotein N,1,,,
TC6_apd_hap1000078.hg.1,1,0.056857,-1.94,-4.0093,FLOT1,flotillin 1,,,,
TC0X001212.hg.1,1,0.056975,1.94,-4.0108,XKRX,XK, Kell blood group complex subunit-related, X-linked,,
TC6_dbb_hap3000184.hg.1,1,0.056991,-1.94,-4.011,PSMB8,proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7),
TC05001845.hg.1,1,0.056994,-1.94,-4.011,TMEM173,transmembrane protein 173,,,,
TC06004121.hg.1,1,0.057118,-1.93,-4.0126,ATF6B,activating transcription factor 6 beta,,,,
TC01000849.hg.1,1,0.057215,1.93,-4.0139,EPHX4,epoxide hydrolase 4,,,,
TC01002923.hg.1,1,0.057255,1.93,-4.0144,EXTL2,exostoses (multiple)-like 2,,,,
TC04001088.hg.1,1,0.057265,-1.93,-4.0145,CCDC149,coiled-coil domain containing 149,,,,
TC11000097.hg.1,1,0.057623,1.93,-4.0191,OR51D1,olfactory receptor, family 51, subfamily D, member 1,
TC16001284.hg.1,1,0.057686,-1.93,-4.0199,KARS,lysyl-tRNA synthetase,,,,
TC13000104.hg.1,1,0.057733,1.93,-4.0205,C13orf26,chromosome 13 open reading frame 26,,,,
TC03001938.hg.1,1,0.057779,-1.93,-4.0211,LOC339894,uncharacterized LOC339894,,,,
TC08000645.hg.1,1,0.058008,1.93,-4.024,FZD6,frizzled family receptor 6,,,,
TC13000692.hg.1,1,0.058313,-1.93,-4.0278,LECT1,leukocyte cell derived chemotaxin 1,,,,
TC04000386.hg.1,1,0.058564,1.92,-4.031,MUC7,mucin 7, secreted,,,
TC0X001037.hg.1,1,0.058677,1.92,-4.0324,DGKK,diacylglycerol kinase, kappa,,,
TC02002143.hg.1,1,0.058715,-1.92,-4.0329,TBC1D8,TBC1 domain family, member 8 (with GRAM domain),,,
TC18000023.hg.1,1,0.05879,1.92,-4.0338,LOC201477,uncharacterized LOC201477,,,,
TC19000584.hg.1,1,0.058819,-1.92,-4.0342,CEACAM6,carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen),,,,
TC14000871.hg.1,1,0.058897,1.92,-4.0351,OR11H2,olfactory receptor, family 11, subfamily H, member 2,
TC07000870.hg.1,1,0.058919,1.92,-4.0354,TTC26,tetratricopeptide repeat domain 26,,,,
TC6_mcf_hap5000138.hg.1,1,0.058992,-1.92,-4.0363,BAG6,BCL2-associated athanogene 6,,,,
TC02000292.hg.1,1,0.059041,1.92,-4.0369,BCYRN1,brain cytoplasmic RNA 1 (non-protein coding),,,,
TC19001142.hg.1,1,0.059049,-1.92,-4.037,OR7G1,olfactory receptor, family 7, subfamily G, member 1,
TC01003677.hg.1,1,0.059109,-1.92,-4.0378,C1orf98,chromosome 1 open reading frame 98,,,,
TC14000538.hg.1,1,0.059203,1.92,-4.0389,TTC8,tetratricopeptide repeat domain 8,,,,
TC03000297.hg.1,1,0.059317,-1.92,-4.0403,APEH,N-acylaminoacyl-peptide hydrolase,,,,
TC12000890.hg.1,1,0.059379,-1.92,-4.0411,TPCN1,two pore segment channel 1,,,,
TC01003422.hg.1,1,0.059514,-1.92,-4.0428,APOA2,apolipoprotein A-II,,,,
TC06001401.hg.1,1,0.059525,1.92,-4.0429,ZNF184,zinc finger protein 184,,,,
TC06000577.hg.1,1,0.059528,-1.92,-4.0429,BYSL,bystin-like,,,,
TC19001815.hg.1,1,0.059604,1.92,-4.0439,ZNF677,zinc finger protein 677,,,,
TC19001559.hg.1,1,0.059624,-1.92,-4.0441,CEACAM4,carcinoembryonic antigen-related cell adhesion molecule 4,,,,
TC22000689.hg.1,1,0.059776,1.91,-4.046,MIR4764,microRNA 4764,,,,
TC07001795.hg.1,1,0.059994,1.91,-4.0487,ASZ1,ankyrin repeat, SAM and basic leucine zipper domain containing 1,,,
TC05001519.hg.1,1,0.060305,-1.91,-4.0524,ARSB,arylsulfatase B,,,,
TC03001756.hg.1,1,0.060331,-1.91,-4.0528,C3orf27,chromosome 3 open reading frame 27,,,,
TC11001151.hg.1,1,0.060341,-1.91,-4.0529,SLC37A2,solute carrier family 37 (glycerol-3-phosphate transporter), member 2,,,
TC06001780.hg.1,1,0.060342,1.91,-4.0529,C6orf138,chromosome 6 open reading frame 138,,,,
TC12001469.hg.1,1,0.060496,-1.91,-4.0548,LMBR1L,limb region 1 homolog (mouse)-like,,,,
TC6_cox_hap2000072.hg.1,1,0.060531,-1.91,-4.0552,APOM,apolipoprotein M,,,,
TC6_dbb_hap3000063.hg.1,1,0.060531,-1.91,-4.0552,APOM,apolipoprotein M,,,,
TC6_mann_hap4000063.hg.1,1,0.060531,-1.91,-4.0552,APOM,apolipoprotein M,,,,
